Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
US,US-AR,AR-4,63600,56200,4495250,109900,416500,1445000,419500,18210000,241800,264675,591000,49800
US,US-AZ,AZ-1,665400,581150,48016250,1136700,4314400,14973000,4335500,188145000,2501700,2715375,6054000,514650
US,US-AZ,AZ-2,593400,517200,42933250,1011600,3839700,13324000,3858500,167445000,2226000,2415225,5383500,457950
US,US-AZ,AZ-3,405700,354050,29291250,692500,2628400,9120000,2641500,114600000,1523800,1653975,3687750,313450
US,US-AZ,AZ-4,506800,443250,36545500,866950,3290300,11419000,3307000,143482500,1908100,2072775,4620750,392350
US,US-AZ,AZ-5,405400,354100,29262250,692525,2628600,9122000,2641500,114607500,1524100,1654575,3688500,313400
US,US-AZ,AZ-6,639300,558700,46095250,1092775,4147400,14393000,4168000,180832500,2404900,2612175,5823000,494550
US,US-AZ,AZ-7,1064100,927450,76959500,1813975,6884600,23901000,6918500,300150000,3990800,4331475,9648750,820500
US,US-AZ,AZ-8,486900,425500,35155250,832225,3158800,10963000,3174500,137715000,1831700,1988850,4432500,376500
US,US-AZ,AZ-9,473200,413450,34155500,808625,3069100,10651000,3084500,133815000,1779600,1932450,4307250,365900
US,US-CA,CA-1,113100,100150,8003250,195850,742200,2576000,747500,32437500,431100,472125,1054500,88700
US,US-CA,CA-10,596500,519050,43192500,1015225,3853700,13364000,3872000,168045000,2233900,2423025,5401500,459450
US,US-CA,CA-11,148300,131100,10457000,256375,971300,3372000,978000,42502500,564100,617400,1379250,116400
US,US-CA,CA-12,272500,241250,19262000,471900,1788200,6207000,1800500,78172500,1038800,1137900,2542500,214000
US,US-CA,CA-13,203800,180500,14407500,353075,1337800,4644000,1347000,58515000,777000,851250,1902000,160100
US,US-CA,CA-14,138300,122500,9768500,239625,907900,3151000,914500,39735000,527300,577725,1291500,108750
US,US-CA,CA-15,115300,102000,8156250,199525,756100,2624000,761000,33067500,439100,480600,1073250,90500
US,US-CA,CA-16,92500,81700,6575750,159800,605700,2103000,609500,26460000,351800,384450,858000,72400
US,US-CA,CA-17,197300,174550,13973250,341375,1293600,4491000,1302500,56572500,751500,822300,1836750,154850
